name,version,license,scope,resolved
pdf-parse,1.1.1,MIT,direct:runtime,https://registry.npmjs.org/pdf-parse/-/pdf-parse-1.1.1.tgz
picomatch,2.3.1,MIT,transitive:dev,https://registry.npmjs.org/picomatch/-/picomatch-2.3.1.tgz
postmark,4.0.5,MIT,direct:runtime,https://registry.npmjs.org/postmark/-/postmark-4.0.5.tgz
process,0.11.10,MIT,transitive:runtime,https://registry.npmjs.org/process/-/process-0.11.10.tgz
process-nextick-args,2.0.1,MIT,transitive:runtime,https://registry.npmjs.org/process-nextick-args/-/process-nextick-args-2.0.1.tgz
proxy-addr,2.0.7,MIT,transitive:runtime,https://registry.npmjs.org/proxy-addr/-/proxy-addr-2.0.7.tgz
proxy-from-env,1.1.0,MIT,transitive:runtime,https://registry.npmjs.org/proxy-from-env/-/proxy-from-env-1.1.0.tgz
pstree.remy,1.1.8,MIT,transitive:dev,https://registry.npmjs.org/pstree.remy/-/pstree.remy-1.1.8.tgz
qs,6.14.1,BSD-3-Clause,transitive:runtime,https://registry.npmjs.org/qs/-/qs-6.14.1.tgz
range-parser,1.2.1,MIT,transitive:runtime,https://registry.npmjs.org/range-parser/-/range-parser-1.2.1.tgz
raw-body,3.0.2,MIT,transitive:runtime,https://registry.npmjs.org/raw-body/-/raw-body-3.0.2.tgz
readable-stream,2.3.8,MIT,transitive:runtime,https://registry.npmjs.org/readable-stream/-/readable-stream-2.3.8.tgz
readable-stream,4.7.0,MIT,transitive:runtime,https://registry.npmjs.org/readable-stream/-/readable-stream-4.7.0.tgz
readdir-glob,1.1.3,Apache-2.0,transitive:runtime,https://registry.npmjs.org/readdir-glob/-/readdir-glob-1.1.3.tgz
readdirp,3.6.0,MIT,transitive:dev,https://registry.npmjs.org/readdirp/-/readdirp-3.6.0.tgz
router,2.2.0,MIT,transitive:runtime,https://registry.npmjs.org/router/-/router-2.2.0.tgz
safe-buffer,5.1.2,MIT,transitive:runtime,https://registry.npmjs.org/safe-buffer/-/safe-buffer-5.1.2.tgz
safe-buffer,5.2.1,MIT,transitive:runtime,https://registry.npmjs.org/safe-buffer/-/safe-buffer-5.2.1.tgz
safer-buffer,2.1.2,MIT,transitive:runtime,https://registry.npmjs.org/safer-buffer/-/safer-buffer-2.1.2.tgz
semver,7.7.3,ISC,transitive:dev,https://registry.npmjs.org/semver/-/semver-7.7.3.tgz
send,1.2.1,MIT,transitive:runtime,https://registry.npmjs.org/send/-/send-1.2.1.tgz
serve-static,2.2.1,MIT,transitive:runtime,https://registry.npmjs.org/serve-static/-/serve-static-2.2.1.tgz
setprototypeof,1.2.0,ISC,transitive:runtime,https://registry.npmjs.org/setprototypeof/-/setprototypeof-1.2.0.tgz
shebang-command,2.0.0,MIT,transitive:runtime,https://registry.npmjs.org/shebang-command/-/shebang-command-2.0.0.tgz
shebang-regex,3.0.0,MIT,transitive:runtime,https://registry.npmjs.org/shebang-regex/-/shebang-regex-3.0.0.tgz
side-channel,1.1.0,MIT,transitive:runtime,https://registry.npmjs.org/side-channel/-/side-channel-1.1.0.tgz
side-channel-list,1.0.0,MIT,transitive:runtime,https://registry.npmjs.org/side-channel-list/-/side-channel-list-1.0.0.tgz
side-channel-map,1.0.1,MIT,transitive:runtime,https://registry.npmjs.org/side-channel-map/-/side-channel-map-1.0.1.tgz
side-channel-weakmap,1.0.2,MIT,transitive:runtime,https://registry.npmjs.org/side-channel-weakmap/-/side-channel-weakmap-1.0.2.tgz
signal-exit,4.1.0,ISC,transitive:runtime,https://registry.npmjs.org/signal-exit/-/signal-exit-4.1.0.tgz
simple-update-notifier,2.0.0,MIT,transitive:dev,https://registry.npmjs.org/simple-update-notifier/-/simple-update-notifier-2.0.0.tgz
statuses,2.0.2,MIT,transitive:runtime,https://registry.npmjs.org/statuses/-/statuses-2.0.2.tgz
streamx,2.23.0,MIT,transitive:runtime,https://registry.npmjs.org/streamx/-/streamx-2.23.0.tgz
string_decoder,1.1.1,MIT,transitive:runtime,https://registry.npmjs.org/string_decoder/-/string_decoder-1.1.1.tgz
string_decoder,1.3.0,MIT,transitive:runtime,https://registry.npmjs.org/string_decoder/-/string_decoder-1.3.0.tgz
string-width,4.2.3,MIT,transitive:runtime,https://registry.npmjs.org/string-width/-/string-width-4.2.3.tgz
string-width,5.1.2,MIT,transitive:runtime,https://registry.npmjs.org/string-width/-/string-width-5.1.2.tgz
string-width-cjs,4.2.3,MIT,transitive:runtime,https://registry.npmjs.org/string-width/-/string-width-4.2.3.tgz
strip-ansi,6.0.1,MIT,transitive:runtime,https://registry.npmjs.org/strip-ansi/-/strip-ansi-6.0.1.tgz
strip-ansi,6.0.1,MIT,transitive:runtime,https://registry.npmjs.org/strip-ansi/-/strip-ansi-6.0.1.tgz
strip-ansi,7.2.0,MIT,transitive:runtime,https://registry.npmjs.org/strip-ansi/-/strip-ansi-7.2.0.tgz
strip-ansi-cjs,6.0.1,MIT,transitive:runtime,https://registry.npmjs.org/strip-ansi/-/strip-ansi-6.0.1.tgz
supports-color,5.5.0,MIT,transitive:dev,https://registry.npmjs.org/supports-color/-/supports-color-5.5.0.tgz
tar-stream,3.1.8,MIT,transitive:runtime,https://registry.npmjs.org/tar-stream/-/tar-stream-3.1.8.tgz
teex,1.0.1,MIT,transitive:runtime,https://registry.npmjs.org/teex/-/teex-1.0.1.tgz
text-decoder,1.2.7,Apache-2.0,transitive:runtime,https://registry.npmjs.org/text-decoder/-/text-decoder-1.2.7.tgz
to-regex-range,5.0.1,MIT,transitive:dev,https://registry.npmjs.org/to-regex-range/-/to-regex-range-5.0.1.tgz
toidentifier,1.0.1,MIT,transitive:runtime,https://registry.npmjs.org/toidentifier/-/toidentifier-1.0.1.tgz
touch,3.1.1,ISC,transitive:dev,https://registry.npmjs.org/touch/-/touch-3.1.1.tgz
ts-algebra,2.0.0,MIT,transitive:runtime,https://registry.npmjs.org/ts-algebra/-/ts-algebra-2.0.0.tgz
tslib,1.14.1,0BSD,transitive:runtime,https://registry.npmjs.org/tslib/-/tslib-1.14.1.tgz
tslib,2.8.1,0BSD,transitive:runtime,https://registry.npmjs.org/tslib/-/tslib-2.8.1.tgz
type-is,2.0.1,MIT,transitive:runtime,https://registry.npmjs.org/type-is/-/type-is-2.0.1.tgz
undefsafe,2.0.5,MIT,transitive:dev,https://registry.npmjs.org/undefsafe/-/undefsafe-2.0.5.tgz
undici-types,7.16.0,MIT,transitive:runtime,https://registry.npmjs.org/undici-types/-/undici-types-7.16.0.tgz
unpipe,1.0.0,MIT,transitive:runtime,https://registry.npmjs.org/unpipe/-/unpipe-1.0.0.tgz
util-deprecate,1.0.2,MIT,transitive:runtime,https://registry.npmjs.org/util-deprecate/-/util-deprecate-1.0.2.tgz
vary,1.1.2,MIT,transitive:runtime,https://registry.npmjs.org/vary/-/vary-1.1.2.tgz
which,2.0.2,ISC,transitive:runtime,https://registry.npmjs.org/which/-/which-2.0.2.tgz
wrap-ansi,8.1.0,MIT,transitive:runtime,https://registry.npmjs.org/wrap-ansi/-/wrap-ansi-8.1.0.tgz
wrap-ansi-cjs,7.0.0,MIT,transitive:runtime,https://registry.npmjs.org/wrap-ansi/-/wrap-ansi-7.0.0.tgz
wrappy,1.0.2,ISC,transitive:runtime,https://registry.npmjs.org/wrappy/-/wrappy-1.0.2.tgz
ws,8.19.0,MIT,transitive:runtime,https://registry.npmjs.org/ws/-/ws-8.19.0.tgz
zip-stream,6.0.1,MIT,transitive:runtime,https://registry.npmjs.org/zip-stream/-/zip-stream-6.0.1.tgz
